Sr No.,Date,Time,Blockchain,Function,Latency,Transaction Fee
1,10/19/2023,11:48:14 GMT+0500 (Pakistan Standard Time),Local-Eth,createUser,2.1491079209996387,0.00667618,
2,10/19/2023,11:48:41 GMT+0500 (Pakistan Standard Time),Local-Eth,createUser,3.087137130999938,0.00667618,
3,10/19/2023,11:49:20 GMT+0500 (Pakistan Standard Time),Local-Eth,createUser,4.088972059000284,0.00667618,
4,10/19/2023,11:59:35 GMT+0500 (Pakistan Standard Time),Local-Eth,issueMoney,4.123122151999734,0.00194768,
5,10/19/2023,11:59:58 GMT+0500 (Pakistan Standard Time),Local-Eth,transferMoney,5.145910159000196,0.00233975,
6,10/19/2023,12:00:09 GMT+0500 (Pakistan Standard Time),Local-Eth,transferMoney,4.124603553999215,0.00233975,
7,10/19/2023,12:02:26 GMT+0500 (Pakistan Standard Time),Local-Eth,default,,0,
8,10/19/2023,12:04:05 GMT+0500 (Pakistan Standard Time),Local-Eth,default,0.02543416900001466,0,
9,10/19/2023,13:16:01 GMT+0500 (Pakistan Standard Time),Sepolia,createUser,7.77142304799892,0.00667618,
10,10/19/2023,13:18:19 GMT+0500 (Pakistan Standard Time),Sepolia,issueMoney,31.812270529000088,0.00194768,
11,10/19/2023,13:19:17 GMT+0500 (Pakistan Standard Time),Sepolia,transferMoney,36.340459431000056,0.00233975,
12,10/19/2023,13:19:33 GMT+0500 (Pakistan Standard Time),Sepolia,default,1.3202439649999143,0,
13,10/19/2023,13:22:43 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,createUser,11.645278900001198,0.00667618,
14,10/19/2023,13:23:41 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,issueMoney,7.405862981999293,0.00194768,
15,10/19/2023,13:24:12 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,transferMoney,7.396609326999634,0.00233975,
16,10/19/2023,13:24:27 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,1.3302064399998634,0,
17,10/19/2023,13:25:20 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,createUser,6.983800695000216,0.0000095374,
18,10/19/2023,13:25:57 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,issueMoney,14.026980139000342,0.0000027824,
19,10/19/2023,13:26:37 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,transferMoney,21.954714855000375,0.0000033425,
20,10/19/2023,13:26:53 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,default,1.3708891700003296,0,
21,10/19/2023,13:29:42 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,createUser,18.98200812700018,0.00667618,
22,10/19/2023,13:31:03 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,issueMoney,9.465850236000493,0.00194768,
23,10/19/2023,13:31:32 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,transferMoney,15.030119155999273,0.00233975,
24,10/19/2023,13:31:47 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,default,1.3223365940004588,0,
25,10/19/2023,13:34:30 GMT+0500 (Pakistan Standard Time),Linea-Goerli,createUser,14.064959863999858,0.00667618,
26,10/19/2023,13:35:18 GMT+0500 (Pakistan Standard Time),Linea-Goerli,issueMoney,27.245702321000397,0.00194768,
27,10/19/2023,13:36:09 GMT+0500 (Pakistan Standard Time),Linea-Goerli,transferMoney,30.24923157300055,0.00233975,
28,10/19/2023,13:36:33 GMT+0500 (Pakistan Standard Time),Linea-Goerli,default,1.3689814840015024,0,
29,10/20/2023,12:57:41 GMT+0500 (Pakistan Standard Time),Sepolia,default,8.052855924859205,0,
30,1,10/20/2023,16:33:30 GMT+0500 (Pakistan Standard Time),Sepolia,default,1.4607784200012683,0,
31,10/20/2023,16:41:11 GMT+0500 (Pakistan Standard Time),Sepolia,default,1.4259352479986847,0,
32,10/20/2023,16:43:27 GMT+0500 (Pakistan Standard Time),Sepolia,default,1.3401292700003833,0,
33,10/24/2023,20:15:14 GMT+0500 (Pakistan Standard Time),Celo,issueMoney,12.896202131999656,0.00194768,
34,10/24/2023,20:16:57 GMT+0500 (Pakistan Standard Time),Celo,transferMoney,32.3252025180012,0.00233975,
35,10/24/2023,20:26:25 GMT+0500 (Pakistan Standard Time),Celo,createUser,12.026426226999611,0.00667618,
36,10/25/2023,16:07:13 GMT+0500 (Pakistan Standard Time),Sepolia,createUser,17.934230930000545,0.00667618,
37,10/25/2023,16:08:07 GMT+0500 (Pakistan Standard Time),Sepolia,issueMoney,20.775701616000383,0.00194768,
38,10/25/2023,16:11:27 GMT+0500 (Pakistan Standard Time),Sepolia,transferMoney,43.15155563000217,0.00233975,
39,10/25/2023,16:12:36 GMT+0500 (Pakistan Standard Time),Sepolia,getUser,1.502050055000931,0,
40,10/25/2023,16:23:15 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,createUser,10.723923663001507,0.00667618,
41,10/25/2023,16:24:07 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,issueMoney,17.12549418400228,0.00194768,
42,10/25/2023,16:24:33 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,transferMoney,11.494731924001128,0.00233975,
43,10/25/2023,16:25:16 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,1.3647238259986043,0,
44,10/25/2023,16:26:32 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,createUser,16.070643068000674,0.0000095374,
45,10/25/2023,16:27:03 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,issueMoney,15.635855572000146,0.0000027824,
46,10/25/2023,16:27:46 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,transferMoney,26.83170321600139,0.0000033425,
47,10/25/2023,16:25:39 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,default,1.5271074439994992,0,
48,10/25/2023,16:28:35 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,createUser,23.63936528699845,0.00667618,
49,10/25/2023,16:29:46 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,issueMoney,7.430810585997999,0.00194768,
50,10/25/2023,16:30:47 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,transferMoney,20.2202455919981,0.00233975,
51,10/25/2023,16:25:55 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,default,2.549126466996968,0,
52,10/25/2023,16:31:58 GMT+0500 (Pakistan Standard Time),Linea-Goerli,createUser,16.961271806001662,0.00667618,
53,10/25/2023,16:33:08 GMT+0500 (Pakistan Standard Time),Linea-Goerli,issueMoney,40.22458715200052,0.00194768,
54,10/25/2023,16:34:34 GMT+0500 (Pakistan Standard Time),Linea-Goerli,transferMoney,23.14467786899954,0.00233975,
55,10/25/2023,16:35:16 GMT+0500 (Pakistan Standard Time),Linea-Goerli,default,1.463813996002078,0,
56,10/25/2023,16:36:04 GMT+0500 (Pakistan Standard Time),Celo,createUser,9.277210138000548,0.00667618,
57,10/25/2023,16:36:59 GMT+0500 (Pakistan Standard Time),Celo,issueMoney,29.467801072999833,0.00194768,
58,10/25/2023,16:38:00 GMT+0500 (Pakistan Standard Time),Celo,transferMoney,11.449418464001267,0.00233975,
59,10/25/2023,16:38:14 GMT+0500 (Pakistan Standard Time),Celo,default,1.3086951229982078,0,
60,10/25/2023,17:52:39 GMT+0500 (Pakistan Standard Time),Linea-Goerli,issueMoney,12.79921429600194,0.00194768,
61,10/25/2023,17:53:44 GMT+0500 (Pakistan Standard Time),Linea-Goerli,issueMoney,44.167891927000134,0.00194768,
62,10/26/2023,13:25:00 GMT+0500 (Pakistan Standard Time),Celo,default,2.106972126000561,0,
63,10/26/2023,13:25:11 GMT+0500 (Pakistan Standard Time),Celo,default,1.044951516999863,0,
64,10/26/2023,13:25:18 GMT+0500 (Pakistan Standard Time),Celo,default,1.0276798580000177,0,
65,10/26/2023,13:25:24 GMT+0500 (Pakistan Standard Time),Celo,default,1.0897878409996629,0,
66,10/27/2023,11:05:58 GMT+0500 (Pakistan Standard Time),Ganache,default,0.048388972000218924,0,
67,10/27/2023,11:06:50 GMT+0500 (Pakistan Standard Time),Sepolia,createUser,15.765368308000266,0.00667618,
68,10/27/2023,11:11:28 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,createUser,7.463500663999468,0.0000095374,
69,10/27/2023,11:12:18 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,transferMoney,7.844754835000262,0.0000033425,
70,10/27/2023,11:50:20 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,transferMoney,4.863165365999564,0.0000033425,
71,10/27/2023,11:51:58 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,transferMoney,31.543910853999666,0.0000033425,
72,10/30/2023,17:51:44 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,createUser,5.305286844999995,0.0000095374,
73,10/30/2023,17:51:49 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,createUser,9.847042446000035,0.00762992,
74,10/30/2023,17:51:59 GMT+0500 (Pakistan Standard Time),Sepolia,createUser,19.69433389300003,0.00762992,
75,10/30/2023,17:52:01 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,issueMoney,12.998537565000007,0.0000027824,
76,10/30/2023,17:52:04 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,issueMoney,11.537068145999918,0.00222592,
77,10/30/2023,17:52:14 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,transferMoney,9.756409636999946,0.0000033425,
78,10/30/2023,17:52:15 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,default,1.2588741560000927,0,
79,10/30/2023,17:52:23 GMT+0500 (Pakistan Standard Time),Sepolia,issueMoney,19.94059851500008,0.00222592,
80,10/30/2023,17:52:33 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,transferMoney,25.08320883899997,0.002674,
81,10/30/2023,17:52:34 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,1.2668522820000072,0,
82,10/30/2023,17:52:38 GMT+0500 (Pakistan Standard Time),Sepolia,transferMoney,11.880630332000088,0.002674,
83,10/30/2023,17:52:40 GMT+0500 (Pakistan Standard Time),Sepolia,default,1.2692844749999932,0,
84,11/7/2023,19:50:41 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,createUser,31.32423795299977,0.00762992,
85,11/7/2023,19:51:29 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,issueMoney,28.019980314000044,0.00222592,
86,11/7/2023,19:53:30 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,transferMoney,114.19591132099973,0.002674,
87,11/7/2023,19:53:32 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,1.9760569939999841,0,
88,11/7/2023,19:56:03 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,4.108305149000138,0,
89,11/7/2023,19:56:10 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,1.273558350000065,0,
90,11/7/2023,20:32:51 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,createUser,43.865950356000106,0.00762992,
91,11/7/2023,20:45:34 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,2.076401581999846,0,
92,11/7/2023,20:52:52 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,2.2034091400001197,0,
93,11/7/2023,20:52:57 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,0.9682533040000125,0,
94,11/7/2023,20:53:04 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,2.5728855819990857,0,
95,11/7/2023,20:53:14 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,5.994768135000021,0,
96,11/7/2023,20:53:37 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,19.007442463000306,0,
97,11/7/2023,20:53:43 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,2.375332746000029,0,
98,11/7/2023,20:53:52 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,4.51279427499976,0,
99,11/7/2023,20:53:58 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,2.6106837409995496,0,
100,11/7/2023,20:54:06 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,3.4557227339996026,0,
