Sr No.,Date,Time,Network,Contract Name,Metric,Function,Value,Fee,Transactions
1,11/22/2023,09:07:36 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Latency,getUser,1.27790000000596,0,0
2,11/22/2023,09:14:46 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Latency,getUser,1.243251651,0,0
3,11/22/2023,09:15:51 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Latency,getUser,1.08909999999404,0,0
4,11/22/2023,09:17:07 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Throughput,getUser,10.2690490860861,0,10
5,11/22/2023,09:18:27 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Throughput,getUser,8.33481940384904,0,10
6,11/22/2023,09:20:40 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Throughput,getUser,8.22369585625401,0,10
7,11/22/2023,09:21:23 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Throughput,getUser,8.48388060055841,0,10
8,11/22/2023,09:23:23 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Throughput,transferMoney,0.179119201808105,0.00233975,10
9,11/22/2023,09:25:58 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Throughput,createUser,0.121146775375706,0.00667618,10
10,11/22/2023,09:33:14 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Latency,issueMoney,9.92029999999702,0.00194768,0
11,11/22/2023,09:35:13 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Latency,createUser,7.40639733200008,0.00762992,10
12,11/22/2023,09:46:21 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Latency,getUser,9.67139999999106,0,0
13,11/22/2023,09:47:49 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Throughput,getUser,4.42194567134228,0,10
14,11/22/2023,09:48:29 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Latency,getUser,1.02609999999404,0,0
15,11/22/2023,10:04:23 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Latency,retrieve,1.25629999999702,0,0
16,11/22/2023,10:19:08 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Latency,store,23.987900000006,1667260000000000,0
17,11/22/2023,11:41:11 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Throughput,retrieve,31.0269934831838,0,10
18,11/22/2023,11:43:11 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Throughput,store,0.172725294237565,0.00166726,10
19,11/22/2023,12:00:35 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Latency,retrieve,1.08898473299993,0,0
20,11/22/2023,12:01:30 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Latency,store,10.6378634319999,0,0
21,11/22/2023,12:02:05 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Throughput,retrieve,9.74876507250327,0,10
22,11/22/2023,12:03:57 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Throughput,store,1.47784504167489,0.00166726,10
23,11/22/2023,16:10:05 GMT+0500 (Pakistan Standard Time),Sepolia,Benchmark,Latency,getUser,1.35587668000162,0,0
24,11/22/2023,16:10:06 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Latency,getUser,1.28700631599873,0,0
25,11/22/2023,16:10:07 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,Benchmark,Latency,getUser,1.19443011900038,0,0
26,11/22/2023,16:10:09 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,Benchmark,Latency,getUser,1.24365610399842,0,0
27,11/22/2023,16:10:10 GMT+0500 (Pakistan Standard Time),Linea-Goerli,Benchmark,Latency,getUser,1.35752580400184,0,0
28,11/22/2023,16:10:12 GMT+0500 (Pakistan Standard Time),Celo,Benchmark,Latency,getUser,1.28805804899707,0,0
29,11/23/2023,13:41:09 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Throughput,store,0.424960855082482,0.00166726,10
30,11/23/2023,15:24:31 GMT+0500 (Pakistan Standard Time),,,Latency,retrieve,1.39367027300037,0,0
31,11/23/2023,16:20:42 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Latency,retrieve,1.28918897100003,0,0
32,11/23/2023,17:14:13 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Bond,Latency,getPrice,1.42328562199976,0,0
33,11/24/2023,16:43:30 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Latency,retrieve,1.39842238099873,0,0
34,1/18/2024,17:00:09 GMT+0500 (Pakistan Standard Time),Sepolia,Benchmark,Latency,getUser,1.19920839300007,0,0
35,1/18/2024,17:08:49 GMT+0500 (Pakistan Standard Time),Celo,Benchmark,Throughput,issueMoney,0.55528637835505,0.00194768,10
36,1/18/2024,18:09:06 GMT+0500 (Pakistan Standard Time),Celo,Storage,Throughput,retrieve,39.8053692270258,0,50
37,1/22/2024,13:34:32 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,Bond_v1,Latency,getPrice,1.42237218500022,0,0
38,1/22/2024,13:58:56 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,Bond_v1,Latency,buy,4.27458670999948,0,0
39,1/22/2024,14:10:48 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,Bond_v1,Throughput,buy,13.2466619291488,0.0000156678,50
40,1/22/2024,14:17:28 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,Bond_v1,Throughput,getPrice,30.3366631825477,0,50
41,1/23/2024,13:17:36 GMT+0500 (Pakistan Standard Time),Sepolia,Bond_v1,Latency,getPrice,1.66173490400007,0,0
42,1/23/2024,13:18:50 GMT+0500 (Pakistan Standard Time),Sepolia,Bond_v1,Throughput,getPrice,36.2166853585514,0,50
43,1/23/2024,13:30:40 GMT+0500 (Pakistan Standard Time),Sepolia,Bond_v1,Latency,buy,9.08174922599923,0,0
44,1/23/2024,13:36:39 GMT+0500 (Pakistan Standard Time),Sepolia,Bond_v1,Throughput,buy,3.27675237197448,0.0057708,50
45,1/23/2024,13:47:28 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Bond_v1,Latency,getPrice,1.13932138300035,0,0
46,1/23/2024,13:49:18 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Bond_v1,Throughput,getPrice,25.8100034956654,0,50
47,1/23/2024,13:49:58 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Bond_v1,Latency,buy,7.97959932200052,0,0
48,1/23/2024,13:54:04 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Bond_v1,Throughput,buy,1.21499274845662,0.0057708,50
49,1/23/2024,13:57:35 GMT+0500 (Pakistan Standard Time),Celo,Bond_v1,Latency,getPrice,0.865558473000303,0,0
50,1/23/2024,13:58:12 GMT+0500 (Pakistan Standard Time),Celo,Bond_v1,Latency,buy,11.507892585,0,0
51,1/23/2024,14:00:52 GMT+0500 (Pakistan Standard Time),Celo,Bond_v1,Throughput,buy,2.72458452392781,0.0057708,50
52,1/23/2024,14:01:26 GMT+0500 (Pakistan Standard Time),Celo,Bond_v1,Throughput,getPrice,39.2296772081053,0,50
53,1/29/2024,16:49:45 GMT+0500 (Pakistan Standard Time),Linea-Goerli,Benchmark,Latency,getUser,1.92262806500029,0,0
54,1/30/2024,13:06:50 GMT+0500 (Pakistan Standard Time),Optimism-Sepolia,Benchmark,Latency,createUser,6.40971525000036,0.00909656,0
55,1/30/2024,14:12:35 GMT+0500 (Pakistan Standard Time),Optimism-Sepolia,Benchmark,Latency,createUser,4.58288073999994,0.00676081,0
56,1/30/2024,16:39:50 GMT+0500 (Pakistan Standard Time),Sepolia,Benchmark,Latency,issueMoney,31.54796557100117,0.00222592,0
57,1/30/2024,16:47:29 GMT+0500 (Pakistan Standard Time),Sepolia,Benchmark,Latency,getUser,1.2444965979978442,0,0
58,1/30/2024,16:49:20 GMT+0500 (Pakistan Standard Time),Sepolia,Benchmark,Latency,getUser,1.3134686169996859,0,0
