Sr No.,Date,Time,Network,Contract Name,Metric,Function,Value,Fee,Transactions
1,11/22/2023,09:07:36 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Latency,getUser,1.2779000000059604,0,0
2,11/22/2023,09:14:46 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Latency,getUser,1.2432516509999987,0,0
3,11/22/2023,09:15:51 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Latency,getUser,1.0890999999940396,0,0
4,11/22/2023,09:17:07 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Throughput,getUser,10.26904908608606,0,10
5,11/22/2023,09:18:27 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Throughput,getUser,8.33481940384904,0,10
6,11/22/2023,09:20:40 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Throughput,getUser,8.223695856254006,0,10
7,11/22/2023,09:21:23 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Throughput,getUser,8.483880600558413,0,10
8,11/22/2023,09:23:23 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Throughput,transferMoney,0.17911920180810492,0.00233975,10
9,11/22/2023,09:25:58 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Throughput,createUser,0.12114677537570644,0.00667618,10
10,11/22/2023,09:33:14 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Latency,issueMoney,9.92029999999702,0.00194768,0
11,11/22/2023,09:35:13 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Latency,createUser,7.406397332000081,0.00762992,10
12,11/22/2023,09:46:21 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Latency,getUser,9.67139999999106,0,0
13,11/22/2023,09:47:49 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Throughput,getUser,4.421945671342281,0,10
14,11/22/2023,09:48:29 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Latency,getUser,1.0260999999940394,0,0
15,11/22/2023,10:04:23 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Latency,retrieve,1.2562999999970197,0,0
16,11/22/2023,10:19:08 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Latency,store,23.98790000000596,1667260000000000,0
17,11/22/2023,11:41:11 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Throughput,retrieve,31.02699348318377,0,10
18,11/22/2023,11:43:11 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Throughput,store,0.1727252942375654,0.00166726,10
19,11/22/2023,12:00:35 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Latency,retrieve,1.088984732999932,0,0
20,11/22/2023,12:01:30 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Latency,store,10.637863431999925,0,0
21,11/22/2023,12:02:05 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Throughput,retrieve,9.748765072503273,0,10
22,11/22/2023,12:03:57 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Throughput,store,1.4778450416748923,0.00166726,10
23,11/22/2023,16:10:05 GMT+0500 (Pakistan Standard Time),Sepolia,Benchmark,Latency,getUser,1.3558766800016164,0,0
24,11/22/2023,16:10:06 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Benchmark,Latency,getUser,1.287006315998733,0,0
25,11/22/2023,16:10:07 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,Benchmark,Latency,getUser,1.1944301190003752,0,0
26,11/22/2023,16:10:09 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,Benchmark,Latency,getUser,1.2436561039984226,0,0
27,11/22/2023,16:10:10 GMT+0500 (Pakistan Standard Time),Linea-Goerli,Benchmark,Latency,getUser,1.3575258040018379,0,0
28,11/22/2023,16:10:12 GMT+0500 (Pakistan Standard Time),Celo,Benchmark,Latency,getUser,1.2880580489970743,0,0
29,11/23/2023,13:41:09 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Throughput,store,0.4249608550824818,0.00166726,10
30,11/23/2023,15:24:31 GMT+0500 (Pakistan Standard Time),,,Latency,retrieve,1.3936702730003745,0,0
31,11/23/2023,16:20:42 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Latency,retrieve,1.289188971000025,0,0
32,11/23/2023,17:14:13 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Bond,Latency,getPrice,1.423285621999763,0,0
33,11/24/2023,16:43:30 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,Storage,Latency,retrieve,1.3984223809987306,0,0
