Sr No.,Date,Time,Network,Contract Name,Metric,Function,Value,Fee,Transactions
1,2/20/2024,20:45:03 GMT+0500 (Pakistan Standard Time),Sepolia,Benchmark,Latency,createUser,26.230399999976157,0.00667618,1
2,2/21/2024,12:19:47 GMT+0500 (Pakistan Standard Time),Sepolia,Benchmark,Throughput,getUser,93.61542781832622,0,50
3,5/8/2024,19:12:41 GMT+0500 (Pakistan Standard Time),Sepolia,Benchmark,Latency,transferMoney,29.540900000095366,0.00194768,1
4,5/8/2024,19:26:51 GMT+0500 (Pakistan Standard Time),Sepolia,Storage,Throughput,retrieve,27.925160577110166,0,10
5,5/8/2024,19:26:51 GMT+0500 (Pakistan Standard Time),Sepolia,Storage,Throughput,retrieve,763.3587702901261,0,10
6,5/8/2024,19:26:52 GMT+0500 (Pakistan Standard Time),Sepolia,Storage,Throughput,retrieve,699.3007016325354,0,10
7,5/8/2024,19:26:52 GMT+0500 (Pakistan Standard Time),Sepolia,Storage,Throughput,retrieve,645.1612903225806,0,10
8,5/8/2024,19:26:52 GMT+0500 (Pakistan Standard Time),Sepolia,Storage,Throughput,retrieve,555.5555555555555,0,10
9,5/8/2024,19:26:52 GMT+0500 (Pakistan Standard Time),Sepolia,Storage,Throughput,retrieve,515.4639149918314,0,10
10,5/8/2024,19:27:07 GMT+0500 (Pakistan Standard Time),Sepolia,Storage,Throughput,retrieve,29.078220404847006,0,10
10,5/8/2024,19:27:07 GMT+0500 (Pakistan Standard Time),Sepolia,Storage,Throughput,retrieve,30.27550711911489,0,10
11,5/8/2024,19:30:27 GMT+0500 (Pakistan Standard Time),Sepolia,Storage,Throughput,retrieve,23.820867082267434,0,10
