Sr No.,Date,Time,Network,Contract Name,Metric,Function,Value,Fee,Transactions
1,2/20/2024,13:53:14 GMT+0500 (Pakistan Standard Time),Alfajores,Benchmark,Latency,createUser,42.40417947200034,0.00762992,1
2,2/20/2024,13:53:50 GMT+0500 (Pakistan Standard Time),Fuji,Benchmark,Latency,createUser,6.3660349810002375,0.00909656,1
3,2/20/2024,18:39:11 GMT+0500 (Pakistan Standard Time),Fuji,Benchmark,Latency,createUser,18.96655613398552,0.00772856,1
4,2/20/2024,18:41:27 GMT+0500 (Pakistan Standard Time),Alfajores,Storage,Throughput,store,0.90143519111928,0.00180698,10
5,2/20/2024,20:41:44 GMT+0500 (Pakistan Standard Time),Linea-Goerli,Benchmark,Throughput,getUser,8.241655540010008,0,10
6,2/21/2024,11:41:48 GMT+0500 (Pakistan Standard Time),Arbitrum-Sepolia,Benchmark,Latency,getUser,1.2568040161132812,0,1
7,2/21/2024,15:44:18 GMT+0500 (Pakistan Standard Time),Sepolia,Benchmark,Latency,createUser,18.382538980007173,0.00762992,1
8,5/8/2024,19:10:45 GMT+0500 (Pakistan Standard Time),Sepolia,Benchmark,Latency,getUser,1.566659068107605,0,1
9,5/14/2024,20:21:22 GMT+0500 (Pakistan Standard Time),Sepolia,Benchmark,Throughput,getUser,8.055111894156855,0,10
10,5/15/2024,10:40:56 GMT+0500 (Pakistan Standard Time),Linea-Goerli,Storage,Latency,store,6.739787972450256,0.00306152,1
11,5/15/2024,11:02:04 GMT+0500 (Pakistan Standard Time),Linea-Goerli,Benchmark,Latency,getUser,1.33819167804718,0,1
12,5/15/2024,11:36:56 GMT+0500 (Pakistan Standard Time),Alfajores,Benchmark,Latency,getUser,1.4096228494644165,0,1
13,5/15/2024,11:38:02 GMT+0500 (Pakistan Standard Time),Alfajores,Benchmark,Latency,transferMoney,25.68236542892456,0.00033425,1
14,5/15/2024,11:49:02 GMT+0500 (Pakistan Standard Time),Fuji,Storage,Latency,retrieve,0.6201207571029663,0,1
15,5/15/2024,12:23:13 GMT+0500 (Pakistan Standard Time),Alfajores,Benchmark,Throughput,issueMoney,0.6069581280258096,0.00194768,10
16,5/15/2024,12:26:01 GMT+0500 (Pakistan Standard Time),Fuji,Storage,Latency,retrieve,0.6710523796081543,0,1
17,5/15/2024,14:31:43 GMT+0500 (Pakistan Standard Time),Alfajores,Benchmark,Throughput,getUser,7.664719272467608,0,10
18,5/22/2024,11:00:03 GMT+0500 (Pakistan Standard Time),Linea-Goerli,Benchmark,Latency,transferMoney,2.833458890914917,0.000020055000233975,1
19,5/22/2024,11:26:27 GMT+0500 (Pakistan Standard Time),Alfajores,Bond_v1,Latency,getPrice,1.3925398674011231,0,1
20,5/22/2024,11:46:46 GMT+0500 (Pakistan Standard Time),Linea-Goerli,Benchmark,Throughput,createUser,2.505983579017396,0.00667618,10
21,5/22/2024,11:51:02 GMT+0500 (Pakistan Standard Time),Alfajores,Bond_v1,Latency,getPrice,1.3343700876235962,0,1
22,5/22/2024,13:56:02 GMT+0500 (Pakistan Standard Time),Alfajores,Bond_v1,Latency,getPrice,1.3255518789291383,0,1
23,5/22/2024,13:56:37 GMT+0500 (Pakistan Standard Time),Linea-Goerli,Benchmark,Latency,issueMoney,2.7818494062423706,0.000020033280222592,1
24,5/22/2024,14:39:39 GMT+0500 (Pakistan Standard Time),Alfajores,Bond_v1,Latency,getPrice,1.3265035877227782,0,1
