Sr No.,Date,Time,Blockchain,Function,Number of Transactions,Throughput,Transaction Fee
1,10/19/2023,12:19:50 GMT+0500 (Pakistan Standard Time),Local-Eth,createUser,10,2.462250936652098,0.00667618,
2,10/19/2023,12:20:21 GMT+0500 (Pakistan Standard Time),Local-Eth,issueMoney,3.1813614406971813,0.00194768,
3,10/19/2023,12:20:38 GMT+0500 (Pakistan Standard Time),Local-Eth,transferMoney,2.4730653286356934,0.00233975,
4,10/19/2023,12:21:41 GMT+0500 (Pakistan Standard Time),Local-Eth,default,,0,
5,10/19/2023,12:22:29 GMT+0500 (Pakistan Standard Time),Local-Eth,default,377.1114185431173,0,
6,10/19/2023,13:13:06 GMT+0500 (Pakistan Standard Time),Local-Eth,default,40.21956067329031,0,
7,10/19/2023,13:46:17 GMT+0500 (Pakistan Standard Time),Sepolia,createUser,0.39236149306563256,0.00667618,
8,10/19/2023,13:51:58 GMT+0500 (Pakistan Standard Time),Sepolia,issueMoney,10,0.30762412633529457,0.00194768,
9,10/19/2023,13:55:54 GMT+0500 (Pakistan Standard Time),Sepolia,issueMoney,10,0.4065744694921495,0.00194768,
10,10/19/2023,13:57:12 GMT+0500 (Pakistan Standard Time),Sepolia,transferMoney,10,0.4337142632059401,0.00233975,
11,10/19/2023,14:01:29 GMT+0500 (Pakistan Standard Time),Sepolia,default,10,8.04205459272119,0,
12,10/19/2023,14:03:07 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,createUser,10,0.6044683727328078,0.00667618,
13,10/19/2023,14:04:48 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,issueMoney,10,0.39389613356722597,0.00194768,
14,10/19/2023,14:06:24 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,transferMoney,10,0.3077436043658505,0.00233975,
15,10/19/2023,14:06:43 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,10,7.897575153715306,0,
16,10/19/2023,14:07:55 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,createUser,10,1.1155497967393948,0.0000095374,
17,10/19/2023,14:52:17 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,issueMoney,10,1.042218279146855,0.0000027824,
18,10/19/2023,14:53:37 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,transferMoney,10,0.617495232366705,0.0000033425,
19,10/19/2023,14:54:21 GMT+0500 (Pakistan Standard Time),Arbitrum-Goerli,default,10,1.5124267417994572,0,
20,10/19/2023,14:56:02 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,createUser,10,0.5423129912652435,0.00667618,
21,10/19/2023,14:57:15 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,issueMoney,10,0.4711794240953584,0.00194768,
22,10/19/2023,15:01:56 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,transferMoney,10,0.7328236198578195,0.00233975,
23,10/19/2023,15:05:13 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,default,10,8.20903663608239,0,
24,10/19/2023,15:13:24 GMT+0500 (Pakistan Standard Time),Linea-Goerli,createUser,10,0.5395300902726154,0.00667618,
25,10/19/2023,15:15:15 GMT+0500 (Pakistan Standard Time),Linea-Goerli,issueMoney,10,0.2982669539618838,0.00194768,
26,10/19/2023,15:16:25 GMT+0500 (Pakistan Standard Time),Linea-Goerli,transferMoney,10,0.391800760273461,0.00233975,
27,10/19/2023,15:17:00 GMT+0500 (Pakistan Standard Time),Linea-Goerli,default,10,7.603866368044129,0,
